,gene,chromosome,start,end,strand,biotype
44,UQCC5,chr3,52569505,52574786,+,protein_coding
218,ZNG1C,chr9,80416505,80473721,+,protein_coding
222,ZNG1A,chr9,114953,173385,-,protein_coding
239,CNTNAP3,chr9,39078097,39301584,-,protein_coding
334,ENTREP2,chr15,26897354,27361792,-,protein_coding
403,TRAPPC10,chr21,42367933,42462167,+,protein_coding
409,KCNE1,chr21,32829245,32894776,-,protein_coding
111,PWP2,chr21,42463009,42486796,+,protein_coding
112,GATD3,chr21,42489298,42501326,+,protein_coding
113,U2AF1,chr21,41484016,41498641,-,protein_coding
