,gene,chromosome,start,end,strand,biotype
0,PRAMEF13,chr1,12544302,12549523,+,protein_coding
33,RGPD6,chr2,110936277,111000128,-,protein_coding
49,OR4F21,chr3,200993995,200994932,+,protein_coding
53,MUC20,chr3,198633304,198645342,-,protein_coding
58,UGT2B28,chr4,72743650,72758236,+,protein_coding
69,GK3,chr4,122698223,122700120,-,protein_coding
109,OR4F21,chr6,172013163,172014100,+,protein_coding
123,TCAF2,chr7,144983304,145010763,+,protein_coding
135,FAM90A5,chr8,7002916,7005926,+,protein_coding
136,FAM90A20,chr8,7010562,7013572,+,protein_coding
137,FAM90A11,chr8,7016372,7019382,+,protein_coding
138,FAM90A3,chr8,7023994,7027004,+,protein_coding
140,FAM90A13,chr8,11708430,11711440,+,protein_coding
142,FAM90A13,chr8,11716078,11719088,+,protein_coding
144,FAM90A13,chr8,11723726,11726736,+,protein_coding
146,FAM90A13,chr8,11731374,11734384,+,protein_coding
148,FAM90A13,chr8,11739022,11742032,+,protein_coding
152,FAM90A13,chr8,11754318,11757328,+,protein_coding
154,FAM90A13,chr8,11761966,11764976,+,protein_coding
160,FAM90A12,chr8,11784915,11787925,+,protein_coding
162,FAM90A13,chr8,11792558,11795568,+,protein_coding
164,FAM90A15,chr8,11807854,11810864,+,protein_coding
166,FAM90A13,chr8,11815502,11818512,+,protein_coding
168,FAM90A13,chr8,11823150,11826160,+,protein_coding
170,FAM90A13,chr8,11830798,11833808,+,protein_coding
173,FAM90A12,chr8,11846099,11849109,+,protein_coding
174,FAM90A12,chr8,11853747,11856757,+,protein_coding
179,FAM90A12,chr8,11869043,11872053,+,protein_coding
182,FAM90A13,chr8,11884338,11887348,+,protein_coding
184,FAM90A13,chr8,11891986,11894996,+,protein_coding
186,FAM90A13,chr8,11899634,11902644,+,protein_coding
188,FAM90A24,chr8,12386661,12389671,+,protein_coding
194,FAM90A24,chr8,12417245,12420255,+,protein_coding
196,FAM90A24,chr8,12424895,12427905,+,protein_coding
198,FAM90A24,chr8,12432541,12435551,+,protein_coding
200,FAM90A24,chr8,12447832,12450842,+,protein_coding
205,FAM90A13,chr8,7329821,7332831,-,protein_coding
207,FAM90A13,chr8,7337472,7340482,-,protein_coding
241,CNTNAP3,chr9,39078097,39301584,-,protein_coding
256,DUSP13A,chr10,75979167,75982656,-,protein_coding
261,SSU72L4,chr11,4343683,4344784,+,protein_coding
273,DEFB130A,chr11,71783189,71790566,+,protein_coding
278,OR4F16,chr11,113128,114065,-,protein_coding
309,PRR20D,chr13,56384066,56387086,+,protein_coding
311,OR4N4C,chr14,13995713,13996836,+,protein_coding
313,POTEG,chr14,13713835,13745718,-,protein_coding
319,GOLGA8Q,chr15,28345301,28358930,+,protein_coding
327,OR4F21,chr15,99642467,99643404,+,protein_coding
329,POTEB3,chr15,18748387,18783424,-,protein_coding
339,POLGARF,chr15,87085031,87088632,-,protein_coding
343,EIF3CL,chr16,28992128,29016177,+,protein_coding
357,KRTAP9-6,chr17,42103803,42104282,+,protein_coding
372,TBC1D3C,chr17,60876852,60887809,-,protein_coding
384,OR4F21,chr19,107442,108379,-,protein_coding
416,FAM246B,chr22,19404891,19405586,+,protein_coding
417,TMEM191B,chr22,21110537,21113315,+,protein_coding
418,RIMBP3,chr22,21796920,21803024,+,protein_coding
427,GAGE12G,chrX,48762471,48769798,+,protein_coding
428,GAGE12D,chrX,48771996,48779324,+,protein_coding
429,GAGE12E,chrX,48791047,48798358,+,protein_coding
430,GAGE12H,chrX,48800557,48807869,+,protein_coding
431,GAGE12C,chrX,48829085,48836395,+,protein_coding
432,GAGE13,chrX,48848151,48855474,+,protein_coding
441,GK3,chrX,100223302,100225198,-,protein_coding
444,CT47A6,chrX,119253165,119256487,-,protein_coding
445,CT47A5,chrX,119258026,119261348,-,protein_coding
446,CT47A4,chrX,119262886,119266208,-,protein_coding
447,CT47A3,chrX,119267746,119271068,-,protein_coding
448,CT47A8,chrX,119272606,119275928,-,protein_coding
449,CT45A2,chrX,134120072,134128412,-,protein_coding
450,RBMY1B,chrY,22386600,22401038,+,protein_coding
