,gene,chromosome,start,end,strand,biotype
57,SPMAP2L,chr4,60018614,60091522,+,protein_coding
61,AFG2A,chr4,126227197,126623517,+,protein_coding
86,ARB2A,chr5,94101790,94595720,-,protein_coding
245,ZNG1C,chr9,80061576,80119701,-,protein_coding
251,MSANTD7,chr10,14852271,14860964,+,protein_coding
264,BMAL1,chr11,13370517,13480010,+,protein_coding
271,TOP6BL,chr11,66741018,66839790,+,protein_coding
284,DRC12,chr11,119210624,119216213,-,protein_coding
287,BMAL2,chr12,27204471,27296954,+,protein_coding
291,TMT1A,chr12,50888286,50895782,+,protein_coding
314,POTEG,chr14,13713835,13745718,-,protein_coding
321,GOLGA8Q,chr15,28345301,28358930,+,protein_coding
330,POTEB3,chr15,18748387,18783424,-,protein_coding
335,ENTREP2,chr15,26897354,27361792,-,protein_coding
342,NPIPA6,chr16,16340281,16359022,+,protein_coding
344,EIF3CL,chr16,28992128,29016177,+,protein_coding
361,NHERF1,chr17,75640506,75661228,+,protein_coding
366,IGBP1C,chr17,59528282,59559911,-,protein_coding
387,SMIM46,chr19,14238936,14239088,-,protein_coding
390,SAXO3,chr19,52012741,52015325,-,protein_coding
415,FAM246B,chr22,19404891,19405586,+,protein_coding
419,RIMBP3,chr22,21796920,21803024,+,protein_coding
421,MIURF,chr22,39974860,39975072,+,protein_coding
422,TMA7B,chr22,40431389,40435898,+,protein_coding
442,GNG5B,chrX,108794364,108794883,-,protein_coding
