,gene,chromosome,start,end,strand,biotype
44,LOC124909379,chr3,52567715,52619364,+,lncRNA
218,LOC124902173,chr9,80459730,80466105,+,lncRNA
222,LOC105375942,chr9,122723,129299,-,lncRNA
239,LOC101930090,chr9,39113307,39163376,-,pseudogene
334,LOC100420707,chr15,27012052,27013520,-,pseudogene
403,LOC102724200,chr21,42452202,42461892,+,protein_coding
409,LOC124900475,chr21,32838670,32838797,-,snoRNA
410,LOC105379505,chr21,32866580,32869585,-,lncRNA
111,LOC102724159,chr21,42463009,42486796,+,protein_coding
112,LOC102724023,chr21,42489298,42501326,+,protein_coding
113,LOC102724594,chr21,41484016,41498641,-,protein_coding
